"SangerID_f","Family_f","w_f_glu","D_ace_glu_corr","rep","w_r_ace","Family_r","SangerID_r","ratioRF"
225,"Enterobacteriacea",0.0130931961120641,0.666855805876079,1,0.00753420512820513,"Alcaligenaceae",241,0.383728189007694
235,"Enterobacteriacea",0.0144939965694683,0.591828770498717,1,0.00753420512820513,"Alcaligenaceae",241,0.307641811307145
225,"Enterobacteriacea",0.0130931961120641,0.666855805876079,2,0.00781410256410256,"Alcaligenaceae",241,0.3979837785964
235,"Enterobacteriacea",0.0144939965694683,0.591828770498717,2,0.00781410256410256,"Alcaligenaceae",241,0.319070774640962
225,"Enterobacteriacea",0.0130931961120641,0.666855805876079,3,0.00773871794871795,"Alcaligenaceae",241,0.394144328853747
235,"Enterobacteriacea",0.0144939965694683,0.591828770498717,3,0.00773871794871795,"Alcaligenaceae",241,0.315992618521374
225,"Enterobacteriacea",0.0130931961120641,0.666855805876079,4,0.0078834358974359,"Alcaligenaceae",241,0.401515027611411
235,"Enterobacteriacea",0.0144939965694683,0.591828770498717,4,0.0078834358974359,"Alcaligenaceae",241,0.321901840677481
225,"Enterobacteriacea",0.0130931961120641,0.666855805876079,1,0.00489994871794872,"Pseudomonadaceae",226,0.249561621401853
235,"Enterobacteriacea",0.0144939965694683,0.591828770498717,1,0.00489994871794872,"Pseudomonadaceae",226,0.200078053789462
225,"Enterobacteriacea",0.0130931961120641,0.666855805876079,2,0.00524651282051282,"Pseudomonadaceae",226,0.267212642735763
235,"Enterobacteriacea",0.0144939965694683,0.591828770498717,2,0.00524651282051282,"Pseudomonadaceae",226,0.214229196004548
225,"Enterobacteriacea",0.0130931961120641,0.666855805876079,3,0.00488928205128205,"Pseudomonadaceae",226,0.249018352322621
235,"Enterobacteriacea",0.0144939965694683,0.591828770498717,3,0.00488928205128205,"Pseudomonadaceae",226,0.199642505168459
225,"Enterobacteriacea",0.0130931961120641,0.666855805876079,4,0.00493830769230769,"Pseudomonadaceae",226,0.251515300590632
235,"Enterobacteriacea",0.0144939965694683,0.591828770498717,4,0.00493830769230769,"Pseudomonadaceae",226,0.201644353638069
